"Timestamp","HostName","Protocol","CreationTime","LocalAddress","LocalPort","OwningProcess"
"20190826T172316+0200","QLIKSERVER2","UDP","8/26/2019 6:15:53 AM","::","62630","944"
"20190826T172316+0200","QLIKSERVER2","UDP","8/16/2019 6:05:50 AM","::1","51009","924"
"20190826T172316+0200","QLIKSERVER2","UDP","8/16/2019 6:05:50 AM","::","5355","636"
"20190826T172316+0200","QLIKSERVER2","UDP","8/2/2019 3:55:40 AM","::","4500","680"
"20190826T172316+0200","QLIKSERVER2","UDP","8/26/2019 6:15:53 AM","::","3702","944"
"20190826T172316+0200","QLIKSERVER2","UDP","8/2/2019 3:55:40 AM","::","3389","852"
"20190826T172316+0200","QLIKSERVER2","UDP","8/16/2019 6:05:50 AM","::1","1900","924"
"20190826T172316+0200","QLIKSERVER2","UDP","8/2/2019 3:55:40 AM","::","500","680"
"20190826T172316+0200","QLIKSERVER2","UDP","8/16/2019 6:05:50 AM","::","123","944"
"20190826T172316+0200","QLIKSERVER2","UDP","8/26/2019 6:15:53 AM","0.0.0.0","62629","944"
"20190826T172316+0200","QLIKSERVER2","UDP","8/2/2019 3:57:00 AM","127.0.0.1","62255","636"
"20190826T172316+0200","QLIKSERVER2","UDP","8/2/2019 3:57:59 AM","127.0.0.1","55480","680"
"20190826T172316+0200","QLIKSERVER2","UDP","8/2/2019 3:56:35 AM","127.0.0.1","54281","588"
"20190826T172316+0200","QLIKSERVER2","UDP","8/16/2019 6:05:50 AM","127.0.0.1","51011","924"
"20190826T172316+0200","QLIKSERVER2","UDP","8/16/2019 6:05:50 AM","172.16.16.101","51010","924"
"20190826T172316+0200","QLIKSERVER2","UDP","8/16/2019 6:05:50 AM","0.0.0.0","5355","636"
"20190826T172316+0200","QLIKSERVER2","UDP","8/16/2019 6:05:50 AM","0.0.0.0","5353","636"
"20190826T172316+0200","QLIKSERVER2","UDP","8/2/2019 3:57:42 AM","0.0.0.0","5050","944"
"20190826T172316+0200","QLIKSERVER2","UDP","8/2/2019 3:55:40 AM","0.0.0.0","4500","680"
"20190826T172316+0200","QLIKSERVER2","UDP","8/26/2019 6:15:53 AM","0.0.0.0","3702","944"
"20190826T172316+0200","QLIKSERVER2","UDP","8/2/2019 3:55:40 AM","0.0.0.0","3389","852"
"20190826T172316+0200","QLIKSERVER2","UDP","8/16/2019 6:05:50 AM","172.16.16.101","1900","924"
"20190826T172316+0200","QLIKSERVER2","UDP","8/16/2019 6:05:50 AM","127.0.0.1","1900","924"
"20190826T172316+0200","QLIKSERVER2","UDP","8/2/2019 3:55:40 AM","0.0.0.0","500","680"
"20190826T172316+0200","QLIKSERVER2","UDP","8/2/2019 3:55:26 AM","172.16.16.101","138","4"
"20190826T172316+0200","QLIKSERVER2","UDP","8/2/2019 3:55:26 AM","172.16.16.101","137","4"
"20190826T172316+0200","QLIKSERVER2","UDP","8/16/2019 6:05:50 AM","0.0.0.0","123","944"
